code,Id,category,area_code,address,Latitude,Longitude,name,information,image
13,2508716,1,2,인천광역시 옹진군 북도면 신도리,37.5270433,126.4543984,옹진군 신도,"신도는 인천광역시 옹진군 북도면에 있는 섬으로 근처의 시도, 모도와 함께 형제섬으로 불린다. 이들 섬은 희귀 조류의 서식지로 유명한데 특히 신도는 멸종위기 야생생물인 여름철새 노랑부...",
14,2508718,1,36,경상남도 창원시 의창구 동읍 대산면 일원,35.3083537,128.6696025,창원 주남저수지,주남저수지는 경상남도 창원시 의창구 동읍과 대산면 일대에 있는 저수지로 산남·주남(용산)·동판 등 3개 저수지를 합하여 부른다. 오랜 옛날부터 농업용수를 공급해 주던 배후습지성 호수다...,http://tong.visitkorea.or.kr/cms/resource/93/2508593_image2_1.jpg
15,2508720,1,33,충청북도 단양군 단양읍 고수동굴길 8,36.9884887,128.3815923,단양고수동굴,"단양 고수동굴은 남한강 상류 충주호반의 단양읍 고수리에 있는 석회동굴이다. 동굴 내부에는 동굴의 수호신으로 모시는 사자바위를 비롯해 종유관, 종유석, 석순, 돌기둥, 유석, 커튼과 베이 ...",
16,2508723,1,39,제주특별자치도 제주시 구좌읍 만장굴길 182,33.5281972,126.7717618,만장굴,만장굴은 벵뒤굴·만장굴·김녕굴·용천동굴·당처물동굴 등과 함께 유네스코 세계자연유산에 이름을 올린 용암 동굴이다. 형성 시기는 10만∼30만 년 전으로 거문오름의 화산 폭발로 흘러내린 ...,http://tong.visitkorea.or.kr/cms/resource/44/2508544_image2_1.jpg
17,2508748,1,37,전라북도 무주군 설천면 구천동1로 159,35.900708,127.7751598,덕유산국립공원,"덕유산국립공원은 전라북도 무주와 장수군, 경상남도 거창과 함양군 등 2개 도 4개 군에 걸쳐 있다. 향적봉(1,614m)을 중심으로 1,300m 안팎의 장중한 능선이 남서쪽을 향해 장장 약 30km를 달리고 ...",
18,2508755,1,1,서울특별시 성북구 보국문로 262,37.6242392,126.9901206,북한산국립공원,단위 면적당 가장 많은 탐방객이 찾는 국립공원으로 세계기네스북에 기록되기도 했던 북한산국립공원은 세계적으로도 드문 도심 속 자연공원이다. 서울특별시 도봉구·강북구·종로구·은평...,http://tong.visitkorea.or.kr/cms/resource/72/2526672_image2_1.jpg
19,2508767,1,38,전라남도 영암군 영암읍 천황사로 280-43,34.7750814,126.721715,월출산국립공원,호남의 5대 명산 중 하나로 꼽히는 월출산은 ‘달뜨는 산’이라는 이름처럼 수려한 자연을 품은 한반도 최남단의 산악형 국립공원이다. 주변 지역이 평야지대여서 가운데 우뚝 솟은 산세가 더...,
20,2508770,1,39,제주특별자치도 제주시 1100로 2010-61,33.4276835,126.4826133,한라산국립공원,"한라산은 해발 1,950m로 남한에서 가장 높다. 신생대 제4기의 젊은 화산섬인 한라산은 2만5천 년 전까지 화산분화 활동을 하였으며, 한라산 주변에는 기생화산인 오름이 368개 분포되어 있다. 한...",http://tong.visitkorea.or.kr/cms/resource/99/2870099_image2_1.jpg
21,2509413,1,34,충청남도 태안군 원북면 신두해변길 201-122,36.8465683,126.1989057,태안군 신두리 해안사구,"태안신두리해안사구는 우리나라 최대의 해안사구 지대로 전사구, 사구습지, 초승달 모양의 사구인 바르한 등 다양한 지형이 발달해 있다. 길이가 약 3.4km, 폭은 0.5~1.3km 규모의 모래언덕인데 환...",http://tong.visitkorea.or.kr/cms/resource/69/2508569_image2_1.jpg
22,2509443,1,38,전라남도 신안군 증도면 문준경길 188,35.0027957,126.1398143,전남 신안 증도 [슬로시티],"담양군 창평, 완도군 청산도와 함께 아시아 최초의 슬로시티가 된 신안군 증도는 국제슬로시티연맹의 재인증을 받는 데도 성공했다. 증도는 국가습지보호지역과 람사르 습지로도 지정된 자연...",http://tong.visitkorea.or.kr/cms/resource/28/2508528_image2_1.jpg
23,2509451,1,38,전라남도 완도군 청산면 도청길 일대,34.1808444,126.8593849,전남 완도 청산도 [슬로시티],"청산도는 완도에서 19.2km 떨어진 다도해 최남단 섬으로 배를 타고 50분 정도 걸린다. 예로부터 공기가 맑고 산과 바다가 푸른 청산도는 청산여수(靑山麗水), 선원도(仙源島) 등 갖고 있는 이름도...",
24,2509471,1,34,충청남도 태안군 태안읍 군청로 1,36.745436,126.2982977,태안군,"충청남도 서해안 태안반도에 있는 태안군은 530.8km의 길고 복잡한 리아스식 해안에, 연안의 수심이 얕고 조차가 커서 간석지가 넓게 발달했다. 안면도 등 119개 섬을 비롯해 꽃지해변과 천리포...",http://tong.visitkorea.or.kr/cms/resource/61/186461_image2_1.jpg
25,2547325,1,31,경기도 남양주시 조안면 다산로747번길 11,37.5165495,127.2991672,다산생태공원,"남양주시 조안면 능내리에 위치한 다산 유적지는 나라의 부패를 꾸짖던 다산 정약용의 쩌렁쩌렁한 목소리와 꼿꼿하고 검소한 그의 생활이 그대로 보존되어 있는 생가 여유당, 이백년 세월의 ...",http://tong.visitkorea.or.kr/cms/resource/35/2547135_image2_1.jpg
26,2547326,1,31,경기도 시흥시 동서로 287,37.3909839,126.780835,갯골생태문화탐방로,"시흥갯골생태공원은 경기도 유일의 내만 갯골과 옛 염전의 정취를 느낄 수 있는 아름다운 곳입니다. 칠면초, 나문재, 퉁퉁마디 등의 염생식물과 붉은발 농게, 방게 등 각종 어류, 양서류가 서...",http://tong.visitkorea.or.kr/cms/resource/38/2547138_image2_1.jpg
27,2547327,1,31,경기도 파주시 문산읍 임진각로 177,37.8893655,126.7400828,임진강변생태탐방로(율곡습지꽃가람놀이배움터),"임진강변 생태탐방로는 임진각 평화누리에서 통일대교, 초평도, 임진나루를 지나 율곡습지공원까지 이어지는 9.1km의 구간으로 약 3시간이 소요되는 코스입니다. 철책이 설치되고, 민간인을 통...",http://tong.visitkorea.or.kr/cms/resource/39/2547139_image2_1.jpg
28,2547329,1,31,경기도 포천시 영북면 운천리 783-18,38.0972932,127.2514147,한탄강변자연생태탐방로(벼롯길),"지금은 북녘 땅인 강원도 평강군 오리산에서 거대한 화산이 폭발한 후, 물처럼 점성이 낮은 현무암질용암이 한탄강을 따라 흐르고 흘러 철원과 포천, 연천을 지나 파주까지 이르렀다. 강물과 ...",http://tong.visitkorea.or.kr/cms/resource/42/2547142_image2_1.jpg
29,2547335,1,31,경기도 포천시 영북면 대회산리 451,38.0771613,127.2203818,한탄강자연생태탐방로,한탄강 탐방로는 강변 산속 숲길에 만들어진 생태탐방로로 구름다리 등을 걸으면서 가벼운 등산을 하며 한탄강의 절경을 감상할 수 있는 자연 그대로의 트레킹 코스이다. 승일교에서 마당바...,http://tong.visitkorea.or.kr/cms/resource/43/2547143_image2_1.jpg
30,2547339,1,33,충청북도 괴산군 칠성면 사은리 546-1,36.7600303,127.8384906,괴산 산막이옛길,"전국 2시간대 접근성의 대한민국 중심부에 위치한 ‘괴산산막이옛길과 괴산호.’ 산으로 둘러싸인 이 곳은 인위적 훼손을 막기 위해 자연환경보호지역으로 지정•관리하고 있으며, 국립공원...",http://tong.visitkorea.or.kr/cms/resource/09/2547209_image2_1.jpg
31,2547344,1,31,경기도 안산시 상록구 해안로 820-116,37.2908318,126.854309,안산 갈대습지공원,"국내 최초의 인공 습지로서 1997년 착공하여 2005년 12월 완공한 이 공원은 본래 ‘시화호습지공원’으로 불렸으나, 2014년 4월 관할 주체가 한국수자원공사에서 안산시와 화성시로 나뉘어 넘어가...",http://tong.visitkorea.or.kr/cms/resource/52/2547152_image2_1.jpg
32,2547347,1,31,경기도 연천군 전곡읍 양연로 1510,38.0125149,127.0605153,한탄강임진강지질공원,"한탄강 지질 공원은 경기도 포천시와 연천군 일원에 위치하며, 면적은 산정 방법에 따라 다소 차이가 있으나 약 290㎢이다. 한탄강지질공원의 지질·지형학 특징을 보면 신생대제4기에 일어난 ...",http://tong.visitkorea.or.kr/cms/resource/54/2547154_image2_1.jpg
33,2547349,1,31,경기도 안산시 단원구 대부황금로 1531,37.2543776,126.6121501,대송습지,"대부 해솔길과 대송습지라는 천혜의 자원을 갖고 있어 서해의 보물섬이라 불립니다. 특히 대송습지는 서해안 최대의 습지로서, 130여 종의 조류가 서식하는 생태관광의 명소로 떠오르고 있습...",http://tong.visitkorea.or.kr/cms/resource/58/2547158_image2_1.jpg
34,2547352,1,2,인천광역시 강화군 화도면 해안남로 2293-37,37.609647,126.383173,강화갯벌센터,"강화갯벌의 전체면적은 약 105km에 달하며, 특히 여차리-동막리-동검리를 잇는 서남부지역의 갯벌은 육지로부터 최대 6km, 면적은 약 90km로 강화갯벌 면적의 약 86%를 차지한다. 강화도는 한강, 예...",http://tong.visitkorea.or.kr/cms/resource/64/2547164_image2_1.jpg
35,2547354,1,31,경기도 가평군 북면 가화로 2089-42,37.9404404,127.4916653,명지산-청계산 생태공원,"가평군의 자연환경을 지키고 보전하기 위해 환경 보존 프로그램을 진행하고 있다. 그 일환으로 경기도 가평군 북면 명지산 도립공원 내에 명지산 생태전시관을 건립하여 천연염색, 화분만들...",http://tong.visitkorea.or.kr/cms/resource/67/2547167_image2_1.jpg
36,2547355,1,31,경기도 의왕시 왕송못동로 307,37.306757,126.9527992,의왕자연학습공원(레솔레파크),"레솔레파크는 전체 80,715㎡ 규모의 안내소와 습지대, 도섭지, 관찰데크 등 각종 생물을 관찰할 수 있도록 꾸며져 있다. 공원 산책로가 있어 도심 속에 쉼터로 자리매김하고 있고, 주변에는 조류...",http://tong.visitkorea.or.kr/cms/resource/72/2547172_image2_1.jpg
37,2547356,1,31,경기도 안양시 만안구 석수로 320,37.4170765,126.8959705,안양천 생태이야기관,안양천 살리기 사업을 통해 유역 내 350만 시민이 자연과 함께 어우러져 살 수 있는 건강하고 아름다운 『생명이 살아 숨 쉬는 안양천』 으로 하천 환경이 회복되었다. 이에 효율적이고 전문적...,http://tong.visitkorea.or.kr/cms/resource/78/2547178_image2_1.jpg
38,2547419,1,31,경기도 포천시 신북면 지동길 114-11,37.9383786,127.1212501,지동산촌마을,포천 지동산촌마을은 사시사철 늘 푸른 아름드리 잣나무 숲이 마을을 감싸 안아 장관을 이루고 마을 중앙에는 천년수은행나무와 더불어 850/650/500년 은행나무들이 마을 사람들에 애환과 사랑...,http://tong.visitkorea.or.kr/cms/resource/85/2547185_image2_1.jpg
39,2547441,1,36,경상남도 사천시 용현면 대밭담로 5-9,35.0079955,128.0612153,한려해상 국립공원,한려해상국립공원은 1968년 우리나라에서 4번째이자 해상공원으로는 최초로 국립공원으로 지정되었다. 경남 거제시 지심도에서 전남 여수시 오동도까지 300리 뱃길을 따라 크고 작은 섬들과 천...,http://tong.visitkorea.or.kr/cms/resource/76/2547276_image2_1.jpg
40,2547442,1,36,경상남도 통영시 도남로 117,34.8312134,128.4174646,한려해상 국립공원(동부),한려해상국립공원은 1968년 우리나라에서 4번째이자 해상공원으로는 최초로 국립공원으로 지정되었다. 경남 거제시 지심도에서 전남 여수시 오동도까지 300리 뱃길을 따라 크고 작은 섬들과 천...,http://tong.visitkorea.or.kr/cms/resource/82/2547282_image2_1.jpg
41,2547443,1,1,서울특별시 종로구 평창동 일원,37.6130288,126.9745028,북악산생태탐방로,"북악산 내 전통사찰과 일반사찰 탐방이 가능한 힐링로드 산사길, 자연의 소중함을 느끼고, 일상에 찌든 스트레스를 해소할 수 있는 곳이다. * 문의 : 02-2241-3692 * 관련 홈페이지 : http://www.eco-tou...",http://tong.visitkorea.or.kr/cms/resource/38/2547038_image2_1.jpg
42,2547444,1,1,서울특별시 송파구 올림픽로 383,37.5169837,127.1107635,토성산성 어울길,"도심 속 흙길, 토성산성어울길 도심 근처의 토성산성어울길은 2개의 코스로 구성되어 있다. 성내천 주변으로 조성된 인공폭포와 분수대는 걷는 이로 하여금 마음 시원하게 만들며, 남한산성...",http://tong.visitkorea.or.kr/cms/resource/42/2547042_image2_1.jpg
43,2547445,1,36,경상남도 거제시 일운면 와현리 예구선착장,34.801804,128.7146354,거제생태문화탐방로(천주교순례길)1,"윤봉문(1852~1888,요셉) 순교자가 박해와 탄압을 피해 종교 활동이 자유로운 대마도로 건너가기 위해 이 길을 지나갔다 하여 천주교 순례길이라 한다. 예구마을선착장에서 시작하여 공곶이를 거...",http://tong.visitkorea.or.kr/cms/resource/86/2547286_image2_1.jpg
44,2547446,1,1,서울특별시 도봉구 도봉산길 86,37.6874303,127.0344916,북한산 생태탐방연수원,"청정한 국립공원이 가진 우수한 생태·문화·자원 등을 활용하여 다양한 수련·교류 등 체험활동을 통해 미래 세대인 청소년의 품성 및 자질 함양, 선진시민으로 육성 할 수 있는 지속가능한 에...",http://tong.visitkorea.or.kr/cms/resource/43/2547043_image2_1.jpg
45,2547447,1,36,경상남도 거제시 일운면 와현리 예구선착장,34.801804,128.7146354,거제생태탐방로(양지암등대길),양지조각공원으로 이어지는 길을 따라 조성된 탐방로로 탐방로를 따라 걷다보면 탁트인 바다풍경과 조각 등을 관람 할 수 있는 아름다운 탐방로이다. * 문의 : 055-639-4353 * 관련 홈페이지 : http...,http://tong.visitkorea.or.kr/cms/resource/91/2547291_image2_1.jpg
46,2547448,1,36,경상남도 남해군 이동면 성남로 99,34.7789384,127.9510239,남해 바래길,"남해바래길은 2010년 11월 27일 남해바래길 제1코스(평산항에서 가천다랭이마을 해변, 총16㎞)인 다랭이지겟길을 열면서 현재까지 8개 코스가 정비되어있어 전국의 도보객들이 찾고 있다. 주로 ...",http://tong.visitkorea.or.kr/cms/resource/92/2547292_image2_1.jpg
47,2547449,1,36,경상남도 진주시 옥봉동,35.1952124,128.0939251,봉황교~비봉산 생태탐방로,"‘에나’는 경상도 진주사투리를 대표하는 말로 ‘참’, ‘진짜’라는 의미로 에나진주길은 진주시가 품고 있는 역사·문화자원들과 비봉산, 선학산을 아우르는 환경자원들 그리고 진주성과 ...",http://tong.visitkorea.or.kr/cms/resource/96/2547296_image2_1.jpg
48,2547450,1,36,경상남도 진주시 남강로1번길 96-6,35.1759755,128.0368935,진양호자연생태문화탐방로,경호강과 덕천강이 만나는 곳에 위치한 진양호는 맑고 수려한 풍광을 지닌 서부경남의 유일한 인공호수로 지리산이 한눈에 바라보이는 시원하게 트인 전망과 아침에 피어나는 호반의 물안개...,http://tong.visitkorea.or.kr/cms/resource/99/2547299_image2_1.jpg
49,2547454,1,36,경상남도 김해시 한림면 한림로 183-300,35.3107551,128.7885416,화포천습지 생태공원,화포천습지는 낙동강 배후 자연습지이자 국내 최대규모의 하천형 습지로 노랑부리저어새와 큰 기러기를 비롯한 매우 희귀한 동식물이 서식하고있는 생명의 땅이다. 창포의 푸르른 잎이 고개...,http://tong.visitkorea.or.kr/cms/resource/02/2547302_image2_1.jpg
50,2547485,1,36,경상남도 창원시 의창구 동읍 주남로101번길 26,35.3067048,128.6780502,주남저수지 생태학습관,"주남저수지생태학습관은 1층 328㎡ 규모의 건물로 전시 시설, 중앙홀, 농산물 판매장으로 나뉘어져 있다. 먼저 중앙홀에서 안내를 받아 전시실에 들어서면 주남저수지를 찾는 새들, 주변에서 ...",http://tong.visitkorea.or.kr/cms/resource/09/2547309_image2_1.jpg
51,2547509,1,36,경상남도 남해군 삼동면 금암로 562-23,34.7575652,128.0123944,남해나비생태공원,"남해군의 수려한 자연환경에 나비생태공원을 조성하여 자연환경의 중요성을 고취시키고 특색 있는 테마관광지로 육성했다. 남해관광의 자원적, 계절적 한계를 극복하고 군민의 문화지향 욕...",http://tong.visitkorea.or.kr/cms/resource/17/2547317_image2_1.jpg
52,2547512,1,6,부산광역시 부산진구 전포동 일대,35.1575101,129.0710937,구상반려암명소,황령산 일대의 구상반려암은 약 6천만 년 전 지하 깊은 곳에서 마그마가 서서히 굳어 만들어진 암석으로 암석의 표면에서는 가운데의 핵을 중심으로 하여 동심원을 그리며 광물들이 배열된 구...,http://tong.visitkorea.or.kr/cms/resource/49/2547049_image2_1.jpg
53,2547513,1,6,부산광역시 금정구 청룡동 일대,35.282125,129.069762,금정산명소,"약 7천만 년 전 지하에서 마그마가 식어서 생성된 화강암이 융기하여 형성된 부산 땅의 뿌리를 이루는 산이다. 오랜 세월 비바람에 깎이고 다듬어져 만들어진 기암절벽, 토르,나마, 인셀베르그...",http://tong.visitkorea.or.kr/cms/resource/52/2547052_image2_1.jpg
54,2547514,1,36,경상남도 하동군 악양면 섬진강대로 3358-30,35.1492504,127.6807423,지리산생태과학관,"하동지리산생태과학관은 섬진강이 한눈에 내려다 보이는 고소산 중턱에 자리잡고 있으며 전시관, 영상관, 체험관, 야생화단지를 고루 갖춘 과학관으로 단순 전시가 아닌 체험위주의 과학관이...",http://tong.visitkorea.or.kr/cms/resource/18/2547318_image2_1.jpg
55,2547515,1,6,부산광역시 사하구 낙동남로 1240,35.1047953,128.9457698,낙동강하구명소,"낙동강이 남해바다와 만나 만들어진 현생 삼각주로 모래들이 쌓여 만들어진 사주, 사구, 석호 등 아름다운 지형의 명소들이 압권이다. 습지와 철새도래지 명소에는 독특하고 다양한 동식물들...",http://tong.visitkorea.or.kr/cms/resource/57/2547057_image2_1.jpg
56,2547516,1,6,부산광역시 사하구 다대동 일대,35.0571944,128.972922,두송반도명소,공룡의 전성시대였던 백악기 말의 부산지역 지질의 모습을 한눈에 보여주는 으뜸 명소이다. 특히 과거 지진이 기록된 다양한 산출 상태의 쇄설성 암맥과 고지진암이 절경이다. 퇴적층에서는 ...,http://tong.visitkorea.or.kr/cms/resource/68/2547068_image2_1.jpg
57,2547517,1,6,부산광역시 사하구 몰운대1길 14,35.0469576,128.9677698,몰운대,약 8천만년 전 백악기 말에 쌓인 하부다대포층과 그 후 부산지역 지각의 변형과정을 한눈에 볼 수 있는 명소이다. 과거 ‘몰운도(沒雲島)’ 라는 섬이 었으나 낙동강에서 공급된 모래가 쌓이...,http://tong.visitkorea.or.kr/cms/resource/95/2675495_image2_1.jpg
58,2547518,1,3,대전광역시 동구 천개동로 41,36.3733883,127.4710089,대청호 추동습지,"추동인공생태습지는 대전시가 2008년 12월26일 습지보호구역으로 지정한 곳으로 멸종 위기종인 천연기념물 수달, 천연기념물 원앙 그리고 말똥가리, 흰목물떼새, 맹꽁이 등이 서식하고 있다. 슬...",http://tong.visitkorea.or.kr/cms/resource/02/2547102_image2_1.jpg
59,2547519,1,6,부산광역시 부산진구 초읍동 일대,35.1857804,129.0406831,백양산명소,"격렬했던 화산활동으로 분출된 물질이 쌓여 만들어진 다양한 화산쇄설암, 화산활동이 일시적으로 중단되었을 때 호수에서 퇴적된 퇴적암, 그리고 지하에서 이들을 관입한 화강암까지 부산의 ...",http://tong.visitkorea.or.kr/cms/resource/74/2547074_image2_1.jpg
60,2547520,1,6,부산광역시 서구 암남동 일대,35.0705034,129.0143024,송도반도명소,"약 8천만년 전 백악기 말에 쌓인 하부 다대포층과 그 후 부산지역 지각의 변형과정을 한눈에 볼 수 있는 명소이다. 해안가를 따라 다대포층의 퇴적암, 화산활동으로 생성된 화쇄류암, 용암이 ...",http://tong.visitkorea.or.kr/cms/resource/77/2547077_image2_1.jpg
61,2547521,1,3,대전광역시 동구 천개동로 41,36.3733883,127.4710089,대청호자연생태관,상수원보호지역인 청정한 대청호수가에 위치하여 자연과 사람이 조화를 이루는 환경 속에서 어린이들과 학생들이 즐거운 체험과 함께 소중한 자연을 이해하고 느낄 수 있는 곳이다. 뿐만 아...,http://tong.visitkorea.or.kr/cms/resource/07/2547107_image2_1.jpg
62,2547525,1,6,부산광역시 남구 오륙도로 137,35.0993277,129.1202127,오륙도명소,"각 섬마다 가파른 해안절벽과 파도의 침식에 의한 파식대, 각양각색의 해식동굴 등의 지형과 오랜 세월동안 사람의 간섭없이 자라난 동식물들, 그리고 짙푸른 바다가 한데 어우러져 장관을 이...",http://tong.visitkorea.or.kr/cms/resource/80/2547080_image2_1.jpg
63,2547535,1,6,부산광역시 해운대구 반여동,35.2049391,129.1315245,장산명소,"격렬했던 유문암질 화산활동으로 분출된 화산재, 용암, 화쇄류로 이루어진 산으로 구과상유문암, 유문암질 응회암, 반상유문암 등의 다양한 화산암들과 장산폭포, 돌서렁, 인셀베르그 등의 웅...",http://tong.visitkorea.or.kr/cms/resource/87/2547087_image2_1.jpg
64,2547537,1,6,부산광역시 영도구 동삼동 일대,35.0708907,129.0745195,태종대명소,"백악기말에 호수에서 쌓인 퇴적층이 해수면 상승으로 파도에 의해 침식되어 만들어진 파식대지, 해식애, 해안동굴 등의 암벽해안으로 유명한 부산을 대표하는 해안 경관지이다. 구상혼펠스, ...",http://tong.visitkorea.or.kr/cms/resource/94/2547094_image2_1.jpg
65,2549146,1,38,전라남도 장성군 북하면 백양로 1116,35.425852,126.8792119,내장산 국립공원(백암),호남 5대의 명산 중 하나이자 한국을 대표하는 8경 중 하나로 손꼽히는 곳으로 1971년 우리나라 8번째 국립공원으로 지정되었다. 면적은 80.708k㎡이다. 신선봉(763m)을 주봉으로 하는 내장산은 봉...,http://tong.visitkorea.or.kr/cms/resource/12/2548712_image2_1.jpg
66,2549148,1,4,대구광역시 달성군 화원읍 구라리 1769,35.8241603,128.4828818,달성하천습지,"낙동강과 금호강, 진천천과 대명천이 합류하는 곳에 형성된 광활한 하천습지로, 총면적은 약 2㎢에 이른다. 과거에는 범람원(홍수로 인해 하천이 거듭 범람하여 퇴적, 생성된 토양)이었으며, ...",http://tong.visitkorea.or.kr/cms/resource/32/2547332_image2_1.jpg
67,2549149,1,38,전라남도 구례군 마산면 화엄사로 402-31,35.2422727,127.4901014,국립 종복원기술센터,"국립공원 관리공단 종복원기술원은 우리나라에서 사라져 가는 멸종위기동식물의 연구 · 복원사업을 현장에서 시행하고 있으며, 현재 지리산국립공원 반달가슴곰, 설악산과 월악산국립공원...",http://tong.visitkorea.or.kr/cms/resource/16/2548716_image2_1.jpg
68,2549150,1,38,전라남도 구례군 마산면 화엄사로 356,35.2410528,127.487967,지리산 남부 국립공원,"1967년 최초의 국립공원으로 지정된 지리산은 경남의 하동, 함양, 산청, 전남의 구례, 전북의 남원 등 3개 도, 5개 시군에 걸쳐 483.022㎢의 가장 넓은 면적을 지닌 산악형 국립공원이다. 둘레가 320...",http://tong.visitkorea.or.kr/cms/resource/24/2548724_image2_1.jpg
69,2549151,1,38,전라남도 완도군 완도읍 개포로62번길 17-12,34.3177101,126.7461283,다도해 국립공원(완도),"서남 해안과 해상 지역에 흩어져 있는 우리나라 최대 면적의 국립공원이다. 1981년 14번째 국립공원으로 지정되었으며 면적은 2,266.221㎢(육지 291.023㎢, 해상 1,975.198㎢)에 달한다. 따뜻한 해양성 ...",http://tong.visitkorea.or.kr/cms/resource/29/2548729_image2_1.jpg
70,2549153,1,35,경상북도 영주시 풍기읍 죽령로1720번길 76,36.9091932,128.4591987,소백산국립공원(영주),"1987년 18번째 국립공원으로 지정되었으며 면적은 322.011㎢로 지리산, 설악산, 오대산에 이어 산악형 국립공원 가운데 네 번째로 넓다. 해발 1,439.5m인 비로봉을 중심으로 국망봉(1,420.8m), 연화봉(1,...",http://tong.visitkorea.or.kr/cms/resource/69/2548869_image2_1.jpg
